tag,n_rows,n_samples,n_projects,n_distinct_values
geo_loc_name,155584,155584,460,454
collection_date,145112,145112,444,7499
lat_lon,126561,126561,393,2906
host,125715,125715,394,204
env_local_scale,94318,94318,290,477
env_broad_scale,94216,94216,291,380
env_medium,90017,90017,280,829
isolation_source,53197,53197,160,1082
sample_name,44598,44598,107,43472
host_subject_id,44591,44591,123,19097
INSDC last update,38853,38853,84,2094
INSDC center name,38853,38853,84,40
INSDC center alias,38853,38853,84,40
INSDC status,38853,38853,84,1
INSDC first public,38853,38853,84,268
Submitter Id,38852,38852,84,37795
External Id,38852,38852,84,38852
ENA-CHECKLIST,36102,36102,79,5
ENA first public,35130,35130,76,78
ENA last update,35130,35130,76,77
sex,24997,24997,62,15
host_age,23854,23854,97,1711
sample_type,20871,20871,43,49
project_name,20681,20681,64,64
age,18942,18942,49,1117
sequencing method,18677,18677,43,18
host_sex,16311,16311,79,7
source_material_id,14937,14937,54,8997
investigation_type,14721,14721,42,3
geographic location (latitude),14627,14627,41,49
geographic location (longitude),14627,14627,41,49
isolate,14559,14559,58,4359
human gut environmental package,12849,12849,32,1
description,12729,12729,27,1393
seq_methods,12664,12664,26,315
sample_title,12552,12552,25,11945
organism,12345,12345,23,3
elev,11446,11446,24,533
longitude,11445,11445,24,284
latitude,11445,11445,24,218
host_body_product,11379,11379,60,34
strain,11184,11184,39,2282
isol_growth_condt,10901,10901,41,371
samp_collect_device,10842,10842,46,43
host_taxid,10038,10038,24,2
host_body_mass_index,9647,9647,48,1983
host_common_name,9410,9410,22,4
tissue,9003,9003,23,17
samp_size,8778,8778,30,239
common name,8645,8645,22,12
samp_store_temp,8343,8343,38,23
body_mass_index,8332,8332,25,3189
sample_id_unique,7812,7812,3,7074
ecotype,7698,7698,27,11
env_package,7203,7203,19,5
ethnicity,7125,7125,40,73
body_product,7010,7010,14,7
body_habitat,6885,6885,12,6
cultivar,6715,6715,23,7
race,6568,6568,7,27
host_disease,6211,6211,43,142
host_tissue_sampled,5899,5899,35,23
altitude,5874,5874,15,378
sample_id,5804,5804,13,5804
chickenpox,5689,5689,2,6
ibd,5689,5689,2,11
csection,5689,5689,2,7
dominant_hand,5689,5689,2,9
diabetes,5678,5678,2,9
group,5464,5464,6,18
samp_mat_process,5340,5340,30,29
pregnant,5294,5294,3,10
assigned_from_geo,5279,5279,12,3
depth,5261,5261,11,1
family_id,5055,5055,4,1531
timepoint,4965,4965,13,35
host_height,4939,4939,24,363
asd,4920,4920,2,9
appendix_removed,4842,4842,1,6
weight_change,4842,4842,1,6
whole_eggs,4842,4842,1,8
whole_grain_frequency,4842,4842,1,8
add_adhd,4842,4842,1,7
alcohol_frequency,4842,4842,1,8
smoking_frequency,4842,4842,1,8
sugar_sweetened_drink_frequency,4842,4842,1,8
sugary_sweets_frequency,4842,4842,1,8
teethbrushing_frequency,4842,4842,1,8
thyroid,4842,4842,1,7
tonsils_removed,4842,4842,1,6
types_of_plants,4842,4842,1,8
vitamin_b_supplement_frequency,4842,4842,1,8
vitamin_d_supplement_frequency,4842,4842,1,8
antibiotic_history,4842,4842,1,8
ready_to_eat_meals_frequency,4842,4842,1,8
red_meat_frequency,4842,4842,1,8
seafood_frequency,4842,4842,1,8
sleep_duration,4842,4842,1,8
sibo,4842,4842,1,7
skin_condition,4842,4842,1,7
country of birth,4842,4842,1,111
deodorant_use,4842,4842,1,7
drinking_water_source,4842,4842,1,8
diet type,4842,4842,1,8
poultry_frequency,4842,4842,1,8
pool_frequency,4842,4842,1,8
one_liter_of_water_a_day_frequency,4842,4842,1,8
olive_oil,4842,4842,1,8
prepared_meals_frequency,4842,4842,1,8
autoimmune,4842,4842,1,7
salted_snacks_frequency,4842,4842,1,8
probiotic_frequency,4842,4842,1,8
consume_animal_products_abx,4842,4842,1,6
contraceptive,4842,4842,1,9
bowel_movement_frequency,4842,4842,1,9
birth year,4842,4842,1,97
fruit_frequency,4842,4842,1,8
fungal_overgrowth,4842,4842,1,7
exercise_frequency,4842,4842,1,8
exercise_location,4842,4842,1,8
fed_as_infant,4842,4842,1,7
gluten,4842,4842,1,7
high_fat_red_meat_frequency,4842,4842,1,8
homecooked_meals_frequency,4842,4842,1,8
last_move,4842,4842,1,8
meat_eggs_frequency,4842,4842,1,8
livingwith,4842,4842,1,6
level_of_education,4842,4842,1,10
milk_cheese_frequency,4842,4842,1,8
flu_vaccine_date,4842,4842,1,8
flossing_frequency,4842,4842,1,8
frozen_dessert_frequency,4842,4842,1,8
cosmetics_frequency,4841,4841,1,8
last_travel,4841,4841,1,8
artificial_sweeteners,4841,4841,1,8
vegetable_frequency,4841,4841,1,8
vivid_dreams,4841,4841,1,8
bowel_movement_quality,4841,4841,1,7
milk_substitute_frequency,4841,4841,1,8
migraine,4841,4841,1,7
ibs,4840,4840,1,7
roommates_in_study,4840,4840,1,6
clinical condition,4840,4840,1,7
height cm,4840,4840,1,277
fermented_plant_frequency,4840,4840,1,8
breastmilk_formula_ensure,4840,4840,1,6
acid_reflux,4840,4840,1,7
age cat,4839,4839,1,12
drinks_per_session,4837,4837,1,12
cancer treatment,4815,4815,1,7
ibd_diagnosis_refined,4811,4811,1,8
family_relationship,4772,4772,5,184
gastrointest_disord,4759,4759,31,39
weight kg,4665,4665,1,529
host_diet,4436,4436,32,334
country_residence,4416,4416,1,55
cardiovascular_disease,4414,4414,2,9
cdiff,4408,4408,1,7
diabetes type,4394,4394,1,6
pool,4349,4349,4,144
replicate,4346,4346,20,1732
diet,4293,4293,11,27
stool_consistency,4093,4093,2,6
human associated environmental package,4065,4065,8,2
age in months,4050,4050,2,108
project title,4050,4050,2,2
patient_id,4009,4009,2,3364
liver_disease,3998,3998,1,7
kidney_disease,3998,3998,1,6
rel_to_oxygen,3949,3949,22,5
plate_location,3941,3941,1,95
pbs_added,3941,3941,1,2
miseq_run,3941,3941,1,14
plate,3941,3941,1,49
sample_aliquot_id,3941,3941,1,3941
physical_specimen_remaining,3836,3836,12,4
empo_1,3835,3835,12,3
empo_3,3835,3835,12,1
empo_2,3835,3835,12,3
ENA-LAST-UPDATE,3812,3812,9,9
ENA-FIRST-PUBLIC,3812,3812,9,9
taxon_id,3722,3722,8,1
"""""""PUBLIC""""""",3722,3722,8,2
anonymized_name,3722,3722,8,2008
env_matter,3722,3722,8,3
anonymized name,3702,3702,9,3609
dna_extracted,3661,3661,12,3
lung disease,3582,3582,1,7
target gene,3569,3569,6,4
epilepsy_or_seizure_disorder,3564,3564,1,7
chem_administration,3434,3434,23,508
economic_region,3419,3419,1,11
age_corrected,3418,3418,1,173
state,3418,3418,1,62
census_region,3418,3418,1,7
bmi_cat,3415,3415,1,7
collection month,3415,3415,1,14
collection season,3415,3415,1,6
Type,3406,3406,1,2
Isolation,3406,3406,1,3406
Time,3406,3406,1,4
common_name,3386,3386,6,1
age years,3369,3369,1,246
sample group,3337,3337,2,10
day,3336,3336,3,126
patientID,3335,3335,2,844
collection time,3250,3250,1,381
biomaterial_provider,3205,3205,16,436
softener,3148,3148,1,5
seasonal_allergies,3148,3148,1,5
dog,3148,3148,1,5
acne medication,3148,3148,1,5
acne_medication_otc,3148,3148,1,5
lactose,3148,3148,1,5
multivitamin,3148,3148,1,5
cat,3147,3147,1,5
nail_biter,3147,3147,1,5
mental_illness,3147,3147,1,5
other_supplement_frequency,3147,3147,1,5
cancer,3147,3147,1,5
pets_other,3146,3146,1,5
alcohol consumption,3144,3144,1,5
bioproject_number,3132,3132,1,1
sequencing site,3065,3065,1,2
sequencing run,3065,3065,1,14
physical_specimen_location,3045,3045,12,10
collection_timestamp,3043,3043,12,900
batch,3006,3006,2,15
misc_param,2977,2977,17,231
bmtday,2964,2964,1,48
PtNumber,2964,2964,1,403
ref_biomaterial,2923,2923,10,7
depression_bipolar_schizophrenia,2891,2891,1,7
infant sex,2889,2889,1,3
infant delivery mode,2889,2889,1,4
nanodrop concentration (ng/ul),2861,2861,1,1583
mental_illness_type_unspecified,2799,2799,1,6
mental_illness_type_bulimia_nervosa,2799,2799,1,6
specialized_diet_other_restrictions_not_described_here,2799,2799,1,6
specialized_diet_unspecified,2799,2799,1,6
mental_illness_type_depression,2799,2799,1,6
specialized_diet_exclude_dairy,2799,2799,1,6
specialized_diet_fodmap,2799,2799,1,6
specialized_diet_i_do_not_eat_a_specialized_diet,2799,2799,1,6
perturbation,2798,2798,14,18
lowgrain_diet_type,2789,2789,1,6
pku,2718,2718,1,6
host_body_habitat,2707,2707,11,3
host_age_units,2700,2700,10,3
samp_store_loc,2663,2663,15,9
samp_vol_we_dna_ext,2644,2644,14,40
mental_illness_type_bipolar_disorder,2612,2612,1,6
mental_illness_type_substance_abuse,2612,2612,1,6
mental_illness_type_anorexia_nervosa,2612,2612,1,6
specialized_diet_exclude_refined_sugars,2612,2612,1,6
specialized_diet_exclude_nightshades,2612,2612,1,6
specialized_diet_modified_paleo_diet,2612,2612,1,6
illumina_technology,2461,2461,5,3
host weight,2389,2389,8,186
alzheimers,2353,2353,1,6
tmp,2343,2343,11,558
collection_date_only,2338,2338,1,645
infant age (weeks),2333,2333,1,10
treatment,2304,2304,14,318
specialized_diet_halaal,2269,2269,1,6
mental_illness_type_schizophrenia,2247,2247,1,6
specialized_diet_kosher,2247,2247,1,6
specialized_diet_raw_food_diet,2182,2182,1,6
samp_store_dur,2155,2155,13,381
subset_healthy,2142,2142,1,4
oxy_stat_samp,2121,2121,14,6
Visit,2111,2111,4,9
age_unit,2107,2107,7,3
subset_age,2073,2073,1,4
host_phenotype,1966,1966,11,23
public,1896,1896,4,3
time_point,1883,1883,5,21
host_body_temp,1878,1878,14,55
host_life_stage,1859,1859,8,5
Replicate,1832,1832,10,378
genotype,1829,1829,3,4
ihmc_medication_code,1829,1829,12,12
individual,1825,1825,3,702
host_family_relationship,1811,1811,13,27
temp,1793,1793,13,67
host_weight_units,1790,1790,7,2
liver_disord,1731,1731,13,10
subset_ibd,1723,1723,1,4
subset_antibiotic_history,1723,1723,1,4
subset_diabetes,1723,1723,1,4
subset_bmi,1723,1723,1,4
randomized_family,1699,1699,1,463
asthma_mother,1692,1692,1,2
host_height_units,1674,1674,6,2
medic_hist_perform,1668,1668,10,6
non_food_allergies_drug_eg_penicillin,1664,1664,1,5
non_food_allergies_beestings,1664,1664,1,5
non_food_allergies_poison_ivyoak,1664,1664,1,5
non_food_allergies_sun,1664,1664,1,5
non_food_allergies_unspecified,1664,1664,1,5
non_food_allergies_pet_dander,1664,1664,1,5
allergic_to_unspecified,1664,1664,1,5
alcohol_types_unspecified,1664,1664,1,5
alcohol_types_white_wine,1664,1664,1,5
allergic to i have no food allergies that i know of,1664,1664,1,5
allergic_to_shellfish,1664,1664,1,5
alcohol_types_beercider,1664,1664,1,5
alcohol_types_red_wine,1664,1664,1,5
alcohol_types_sour_beers,1664,1664,1,5
alcohol_types_spiritshard_alcohol,1664,1664,1,5
Sequencing run,1659,1659,1,5
Reverse read filename,1659,1659,1,1659
Forward read filename,1659,1659,1,1659
ibd diagnosis,1654,1654,1,5
host_pulse,1652,1652,12,42
specialized_diet_paleodiet_or_primal_diet,1647,1647,1,5
mental_illness_type_ptsd_posttraumatic_stress_disorder,1647,1647,1,5
asthma_5yr,1593,1593,1,2
host_last_meal,1576,1576,11,8
BarcodeSequence,1552,1552,2,1043
host_occupation,1541,1541,10,46
sample id,1539,1539,3,1539
taxon id,1539,1539,3,1
env matter,1539,1539,3,1
samp_salinity,1539,1539,9,5
host_tot_mass,1533,1533,10,168
host_genotype,1483,1483,11,21
subject_id,1480,1480,6,1187
allergic_to_peanuts,1477,1477,1,5
allergic_to_tree_nuts,1477,1477,1,5
Patient_ID,1475,1475,4,191
Sample_ID,1461,1461,4,1441
allergic_to_other,1456,1456,1,6
status,1430,1430,4,101
target subfragment,1372,1372,4,4
organism_count,1371,1371,8,5
Time_Point,1326,1326,3,9
propionate,1315,1315,2,1167
acetate,1315,1315,2,1303
butyrate,1315,1315,2,1278
special_diet,1298,1298,7,4
Weight,1268,1268,5,86
subject,1267,1267,8,446
age units,1247,1247,3,1
roommates,1216,1216,1,7
sample_number,1214,1214,4,965
library_ID,1204,1204,2,1204
semester,1201,1201,1,4
supplement,1201,1201,1,4
total SCFA,1201,1201,1,1031
diagnosis,1196,1196,4,13
Height,1194,1194,4,47
Subject,1165,1165,6,138
specialized_diet_westenprice_or_other_lowgrain_low_processed_fo,1156,1156,1,4
PID,1147,1147,1,121
Time_point,1147,1147,1,12
TNO_ID,1147,1147,1,1147
sample_names,1147,1147,1,1147
JMF_sample_ID,1137,1137,5,1137
target_subfragment,1133,1133,4,1
target_gene,1133,1133,4,1
file_prefix,1121,1121,2,1121
covid_worrying,1104,1104,1,7
covid_interest_pleasure,1104,1104,1,7
covid_left_home,1104,1104,1,7
covid_sleep_pattern,1104,1104,1,7
covid_depressed,1104,1104,1,7
covid_anxious,1104,1104,1,7
covid_suspected_positive,1104,1104,1,7
covid_worried_sleep,1103,1103,1,7
covid_level_of_wellbeing,1103,1103,1,8
covid_quality_of_life,1103,1103,1,7
plant_protein_frequency,1097,1097,1,7
beet_frequency,1096,1096,1,7
covid_sleep_interference,1088,1088,1,6
pcr_primers,1066,1066,3,2
Subject ID,1064,1064,2,238
collected_by,1040,1040,7,5
User_sample_ID,1035,1035,4,1035
run,1012,1012,2,7
CVC,1007,1007,2,3
individualid,1005,1005,2,912
zygosity,1005,1005,2,3
ampliconconcentration,1005,1005,2,846
date of birth,1005,1005,2,527
wellinpcrplate,1005,1005,2,96
pcrplate,1005,1005,2,16
sourcesamplebarcode,1005,1005,2,1005
shipmentnumber,1005,1005,2,8
extractedby,1005,1005,2,2
fermented_consumed_sour_creamcreme_fraiche,998,998,1,5
fermented_produce_personal_unspecified,998,998,1,5
fermented_consumed_unspecified,998,998,1,5
number,988,988,1,988
specialized_diet_weston_price_or_other_low_grain_low_processed_food_diet,980,980,1,2
mental_illness_type_ptsd_post_traumatic_stress_disorder,980,980,1,2
health_state,977,977,3,72
Pacific,967,967,3,2
Ethnic,967,967,3,3
Other,967,967,3,3
Native,967,967,3,3
Smoke,967,967,3,3
White,967,967,3,3
Black,967,967,3,3
Asian,967,967,3,3
chimera_check,967,967,3,1
Diabetes_Med,967,967,3,3
lib_const_meth,967,967,3,1
Abx,967,967,3,3
Hx_Fam_CRC,967,967,3,3
NSAID,967,967,3,3
fit_result,967,967,3,168
Diabetic,967,967,3,3
height_units,957,957,2,2
weight_units,957,957,2,2
specialized_diet,946,946,1,3
material_id,946,946,1,946
fermented_produce_commercial_unspecified,944,944,1,4
non_food_allergies,942,942,1,3
allergic_to,942,942,1,3
alcohol_types,942,942,1,3
mental_illness_type,942,942,1,3
age_in_years,933,933,3,212
number of asv-assignable dna reads,928,928,1,908
severely stunted at sampling,928,928,1,2
in subcohort with no diarrhea for 30 days,928,928,1,2
observation period,928,928,1,4
second project title,928,928,1,1
laz at enrollment,928,928,1,176
breastfeeding category,928,928,1,4
born stunted,928,928,1,2
laz at sampling,928,928,1,341
mean daily feeds at breast,928,928,1,892
fecal sample type diarrheal vs normal,928,928,1,2
phylogenetic diversity,928,928,1,903
outlier removed from models,928,928,1,2
simpson's diversity,928,928,1,492
sequence description,928,928,1,1
chao1 index,928,928,1,178
stunted at sampling,928,928,1,2
stunting category,928,928,1,6
laz 3 months after sampling,925,925,1,339
stunted 3 months after sampling,925,925,1,2
burden group for eaec,925,925,1,3
burden group for norovirus,925,925,1,3
burden group for giardia,925,925,1,3
burden group for campylobacter,925,925,1,3
pathogens per month,924,924,1,238
days on antibiotics,923,923,1,112
percentage of surveillance samples positive for pathogens excluding campylobacter,923,923,1,149
pathogens per month excluding campylobacter,923,923,1,212
patient,922,922,3,68
biotic_relationship,919,919,7,3
number of who food groups,918,918,1,8
number of diarrheal episodes,914,914,1,27
laz 1 month after sampling,913,913,1,338
number of campylobacter-negative diarrheal episodes,911,911,1,25
fermented_frequency,905,905,1,8
fermented_increased,905,905,1,8
percentage of surveillance stools positive for campylobacter,901,901,1,90
Hx_Prev,900,900,2,3
seq_qual_check,900,900,2,1
pcr_cond,900,900,2,1
Hx_of_Polyps,900,900,2,3
cancer_stage,900,900,2,5
antibiotics,889,889,2,35
number of campylobacter-positive diarrheal episodes,883,883,1,13
screenPCRresult,876,876,1,4
hospital_stay,876,876,1,103
subject_adm_ID,876,876,1,255
seqID,876,876,1,876
sample_n_from_first_sample,876,876,1,15
systemicabx_admlvl,876,876,1,2
liver_dis,876,876,1,2
immuno_rx,876,876,1,2
indwell_suprapub_cath,876,876,1,2
mod_or_severe_liver_dis,876,876,1,2
max_%OTU3,876,876,1,238
mets_tumor,876,876,1,2
mild_liver_dis,876,876,1,2
gtube,876,876,1,2
MetronidazoleIV,876,876,1,2
MetronidazolePO,876,876,1,2
PO_diet,876,876,1,2
Piper_Tazo,876,876,1,2
VancIV,876,876,1,2
decubitus,876,876,1,2
gi_CA,876,876,1,2
Metronidazole,876,876,1,2
Mech_vent,876,876,1,2
CVA,876,876,1,2
Ampicillin_Sulbactam,876,876,1,2
CHF,876,876,1,2
Charlson_score,876,876,1,11
KPCKp_bacteremia,876,876,1,2
Amox_Clavula,876,876,1,2
%OTU3,876,876,1,715
Carbapenem,876,876,1,2
DM_all,876,876,1,2
HD,876,876,1,3
hisp_eth,865,865,1,3
edu_lev,865,865,1,8
gender_cat,865,865,1,3
race_cat,865,865,1,8
exercise_wk,865,865,1,7
smk_cig,865,865,1,3
mislabeledprobabove0point20,864,864,1,3
mislabeledprobabove0point15,864,864,1,3
ambiguoustimepoint,864,864,1,2
antibiotic_disturbance,864,864,1,2
anytimeseries,864,864,1,2
control,864,864,1,2
idantibioticdisturbance,864,864,1,2
menstruation_disturbance,864,864,1,2
idmenstruationdisturbance,864,864,1,2
mislabeledprobabove0point05,864,864,1,3
mislabeledprobabove0point30,864,864,1,3
mislabeledprobabove0point25,864,864,1,3
primerplate,864,864,1,10
personalidsicknessdisturbance,864,864,1,2
palmtimeseries,864,864,1,1
mislabeledprobabove0point85,864,864,1,3
mislabeledprobabove0point80,864,864,1,3
mislabeledprobabove0point70,864,864,1,3
mislabeledprobabove0point75,864,864,1,3
sampleplate,864,864,1,10
samplemenstruationdisturbance,864,864,1,2
well,864,864,1,93
sickness_disturbance,864,864,1,2
samplesicknessdisturbance,864,864,1,2
sampleantibioticdisturbance,864,864,1,2
guttimeseries,864,864,1,2
foreheadtimeseries,864,864,1,1
mislabeledprobabove0point99,864,864,1,3
mislabeledprobabove0point95,864,864,1,3
mislabeledprobabove0point90,864,864,1,3
mislabeledprobabove0point10,864,864,1,3
mislabeledprobabove0point45,864,864,1,3
mislabeledprobabove0point40,864,864,1,3
mislabeledprobabove0point35,864,864,1,3
type_sample,864,864,1,1
mislabeledprobabove0point65,864,864,1,3
mislabeledprobabove0point60,864,864,1,3
mislabeledprobabove0point55,864,864,1,3
mislabeledprobabove0point50,864,864,1,3
tonguetimeseries,864,864,1,1
weekssincestart,863,863,1,19
startweek,863,863,1,2
stopweek,863,863,1,11
weeknumber,863,863,1,18
totalindividualweeks,863,863,1,11
weekdescription,863,863,1,18
university,863,863,1,3
Study,852,852,2,5
asthma,847,847,1,2
artificialtanning,847,847,1,3
appendix,847,847,1,2
facialcosmetics,847,847,1,5
fabricsoftener,847,847,1,2
exerciseroutine,847,847,1,5
exerciseindoorsoutdoors,847,847,1,6
drugallergies,847,847,1,2
drinkalcohol,847,847,1,5
dogs,847,847,1,2
dailymultivitamin,847,847,1,2
cats,847,847,1,2
campusdining,847,847,1,2
brushteeth,847,847,1,2
bitefingernails,847,847,1,2
beestingallergies,847,847,1,2
lactoseintolerant,847,847,1,2
hoursofsleep,847,847,1,5
weightchanges,847,847,1,3
traveledoutofus,847,847,1,5
tonsils,847,847,1,2
hormonalbirthcontrol,847,847,1,6
greekhouse,847,847,1,2
glutenintolerant,847,847,1,2
fluvaccine,847,847,1,3
flossteeth,847,847,1,5
prescriptionforfacialacne,847,847,1,2
poisonivyoakallergies,847,847,1,2
overthecounterfacialacne,847,847,1,2
othersupplements,847,847,1,25
otherspecialdiet,847,847,1,9
oncampushousing,847,847,1,2
movetocurrentlocation,847,847,1,3
swimmingpoolhottubuse,847,847,1,4
sunallergies,847,847,1,2
smokecigarettes,847,847,1,5
deodorantantiperspirant,846,846,1,6
life_stage,841,841,2,1
sequencing_pool,840,840,1,7
dataset,840,840,1,2
sequencing_lab,840,840,1,2
days since last diarrheal episode,838,838,1,236
skinconditions,838,838,1,6
shannon's diversity,838,838,1,752
mean duration of diarrheal episodes in days,838,838,1,203
otherallergies,837,837,1,3
treenutallergy,837,837,1,2
peanutallergy,837,837,1,1
othermedication,837,837,1,34
shellfishallergy,837,837,1,1
mean severity of diarrheal episodes,836,836,1,180
seasonalallergies,835,835,1,2
roomates,835,835,1,5
raceethnicity,834,834,1,11
fermented_consumed_other,834,834,1,6
observedotus,819,819,1,741
pd,819,819,1,819
shannonevenness,819,819,1,819
sequencecountabove10000,819,819,1,805
percentage of diarrheal samples positive for campylobacter,814,814,1,84
fermented_consumed_beer,813,813,1,6
fermented_consumed_wine,811,811,1,5
fermented_consumed_pickled_vegetables,811,811,1,5
fermented_consumed_mead,811,811,1,5
fermented_produce_personal_kimchi,811,811,1,5
fermented_produce_personal_pickled_vegetables,811,811,1,5
fermented_produce_personal_sauerkraut,811,811,1,5
fermented_consumed_cottage_cheese,811,811,1,5
fermented_consumed_cider,811,811,1,5
fermented_produce_personal_yogurtlassi,811,811,1,5
fermented_consumed_kefir_milk,811,811,1,5
fermented_consumed_kombucha,811,811,1,5
fermented_consumed_fermented_breadsourdoughinjera,811,811,1,5
fermented_consumed_kimchi,811,811,1,5
collectiontime,811,811,2,183
fermented_consumed_fermented_beansmisonatto,811,811,1,5
fermented_produce_personal_wine,811,811,1,5
fermented_produce_personal_sour_creamcreme_fraiche,811,811,1,5
fermented_consumed_yogurtlassi,811,811,1,5
fermented_consumed_tempeh,811,811,1,5
fermented_consumed_sauerkraut,811,811,1,5
fermented_produce_personal_kefir_milk,811,811,1,5
covid_symptoms_cough,805,805,1,3
covid_family_members_put_into_self_quarantine_with_symptoms,805,805,1,3
zipcode,805,805,1,31
covid_happened_to_you_fallen_ill_physically,805,805,1,3
covid_family_members_reduced_ability_to_earn_money,805,805,1,3
covid_symptoms_unspecified,805,805,1,6
covid_symptoms_fever,805,805,1,3
covid_symptoms_chest_pain_or_tightness_in_chest,805,805,1,3
covid_symptoms_sore_throat,805,805,1,3
covid_symptoms_fatigue,805,805,1,3
covid_symptoms_nausea,805,805,1,3
covid_likely_exposure_yes_someone_with_positive_test,805,805,1,3
covid_likely_exposure_yes_someone_with_possible_symptoms_but_no_diagnosis_by_doctor,805,805,1,3
covid_happened_to_you_none_of_the_above,805,805,1,3
covid_symptoms_lack_of_appetitie,805,805,1,3
covid_family_members_put_into_self_quarantine_without_symptoms_eg_due_to_possible_exposure,805,805,1,3
covid_happened_to_you_lost_job,805,805,1,3
covid_happened_to_you_reduced_ability_to_earn_money,805,805,1,3
covid_happened_to_you_put_into_self_quarantine_without_symptoms_eg_due_to_possible_exposure,805,805,1,3
covid_chronic_conditions_seasonal_allergies,805,805,1,3
covid_family_members_none_of_the_above,805,805,1,3
covid_family_members_lost_job,805,805,1,3
covid_likely_exposure_no,805,805,1,3
visit,802,802,1,2
treatmentgroup,802,802,1,2
MiSeqRun,802,802,1,4
LinkerPrimerSequence,800,800,2,3
specialized_diet_paleo_diet_or_primal_diet,793,793,1,2
bz,792,792,1,792
mean duration of campylobacter-negative diarrheal episodes in days,785,785,1,152
previous accession,777,777,1,1
mean severity of campylobacter-negative diarrheal episodes,775,775,1,131
height,772,772,3,229
fermented_produce_personal_kefir_water,757,757,1,5
title,757,757,2,97
fermented_produce_personal_fermented_beansmisonatto,757,757,1,5
fermented_produce_personal_cider,757,757,1,4
fermented_produce_personal_cottage_cheese,757,757,1,5
fermented_consumed_kefir_water,757,757,1,5
fermented_produce_commercial_beer,757,757,1,4
fermented_produce_personal_tempeh,757,757,1,5
fermented_consumed_fermented_tofu,757,757,1,5
fermented_produce_personal_beer,757,757,1,5
fermented_consumed_fermented_fish,757,757,1,5
bmiclass,752,752,1,4
Extraction_Method,750,750,1,1
Date_Extracted,750,750,1,22
ReversePrimer,750,750,1,2
515f_Forward_Primer,750,750,1,2
Forward_Primer_Linker,750,750,1,2
Sample_Weight,750,750,1,87
Target_Collection_Day,750,750,1,16
Timpoint,748,748,2,38
weight,742,742,3,334
school,737,737,1,12
linker_primer_sequence,737,737,1,1
barcode_sequence,737,737,1,516
replicate_number,737,737,1,2
preservation_media,737,737,1,3
sequencing_run_number,737,737,1,2
reverse_primer_sequence,737,737,1,1
env_mattter,726,726,1,1
ok_run,726,726,1,4
covid_difficulty_staying_asleep,721,721,1,6
time,720,720,6,65
Sample Timepoint,717,717,1,18
Reverse sample,717,717,1,717
Forward sample,717,717,1,717
Sample Group,717,717,1,2
antibiotics_before_w24,714,714,1,3
Birthmode,714,714,1,4
breastfeeding_duration,714,714,1,5
sequence_run,714,714,1,6
days_old_at_time_of_sample,714,714,1,91
Infantmet_Subject_ID,714,714,1,197
covid_patient_care_ppe,711,711,1,4
host_weight,707,707,2,53
ordering,700,700,1,700
SubjectID,688,688,3,332
pcr primers,678,678,3,3
covid_patient_care,677,677,1,4
covid_rideshare,677,677,1,4
specialized_diet_westenprice_or_other_lowgrain_low_processed_food_diet,665,665,1,5
platform,661,661,1,1
design_description,661,661,1,1
filename,661,661,1,661
library_selection,661,661,1,1
library_layout,661,661,1,1
library_source,661,661,1,1
instrument_model,661,661,1,1
filetype,661,661,1,1
filename2,661,661,1,661
library_strategy,661,661,1,1
covid_waking_up_early,654,654,1,6
StudyID,626,626,2,626
covid_patient_care_seven_days_confirmed,623,623,1,3
covid_patient_care_seven_days,620,620,1,3
covid_chronic_conditions_hypertension,618,618,1,3
covid_chronic_conditions_asthma_or_other_lung_problems,618,618,1,3
covid_symptoms_loss_of_taste_or_smell,618,618,1,3
covid_symptoms_shortness_of_breath,618,618,1,3
covid_family_members_hospitalized,618,618,1,3
covid_family_members_fallen_ill_physically,618,618,1,3
covid_chronic_conditions_serious_stomach_or_bowel_problems,618,618,1,3
covid_happened_to_you_put_into_self_quarantine_with_symptoms,618,618,1,3
covid_symptoms_diarrhea,618,618,1,3
covid_chronic_conditions_kidney_problems,618,618,1,3
covid_happened_to_you_unspecified,618,618,1,3
covid_chronic_conditions_immune_disorder,618,618,1,3
covid_chronic_conditions_arthritis,618,618,1,3
covid_chronic_conditions_any_autoimmune_disease,618,618,1,3
covid_family_members_unspecified,618,618,1,3
covid_chronic_conditions_heart_problems,618,618,1,3
week,618,618,1,18
activity,618,618,1,5
collection day,611,611,2,350
covid_difficulty_falling_asleep,610,610,1,6
qiita_empo_2,607,607,1,2
qiita_empo_3,607,607,1,2
qiita_empo_1,607,607,1,2
collection_method,595,595,2,2
mean severity of campylobacter-positive diarrheal episodes,595,595,1,63
mean duration of campylobacter-positive diarrheal episodes in days,594,594,1,79
study arm,576,576,2,5
fermented_produce_personal_other,572,572,1,4
covid_symptoms_stay_home,555,555,1,3
fermented_produce_personal_kombucha,549,549,1,5
fermented_produce_personal_fermented_breadsourdoughinjera,549,549,1,5
fermented_consumed_fish_sauce,549,549,1,5
covid_likely_exposure_unspecified,543,543,1,3
covid_chronic_conditions_frequent_or_very_bad_headaches,543,543,1,3
covid_likely_exposure_yes_someone_with_medical_diagnosis_but_no_test,543,543,1,3
type,541,541,2,6
sample origin,541,541,1,3
method,536,536,1,10
age unit,534,534,1,1
disease,533,533,5,11
flxdata_published,529,529,1,2
run_lane,529,529,1,14
newilluminadatagenerated,529,529,1,1
location,526,526,4,10
